frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
116,4.64,36061,0.2497,"(1471, 0, 1746, 317)","(1560, 259, 1628, 282)"
117,4.68,E482545,0.0914,"(373, 348, 788, 717)","(482, 624, 573, 654)"
117,4.68,RGOSL,0.1548,"(1469, 0, 1745, 322)","(1557, 262, 1627, 285)"
118,4.72,148254S,0.0711,"(373, 346, 788, 715)","(482, 622, 573, 652)"
118,4.72,REOSP,0.102,"(1462, 0, 1740, 325)","(1556, 265, 1625, 289)"
119,4.76,EL82545,0.1633,"(373, 348, 787, 715)","(481, 622, 572, 652)"
119,4.76,REDEL,0.1225,"(1467, 0, 1739, 327)","(1554, 270, 1624, 293)"
120,4.8,E482545,0.1586,"(374, 349, 789, 715)","(482, 623, 573, 653)"
120,4.8,RGOSL,0.274,"(1464, 0, 1739, 332)","(1552, 275, 1623, 299)"
121,4.84,82545,0.6215,"(373, 349, 788, 716)","(482, 624, 574, 654)"
121,4.84,RGOGL,0.1275,"(1461, 1, 1736, 337)","(1552, 279, 1621, 302)"
122,4.88,LA8254S,0.2793,"(373, 349, 788, 716)","(482, 624, 573, 653)"
122,4.88,RGOSL,0.1283,"(1461, 4, 1735, 342)","(1549, 282, 1619, 305)"
123,4.92,LA82545,0.317,"(373, 349, 789, 717)","(482, 625, 573, 653)"
123,4.92,IRGOGL,0.0403,"(1457, 6, 1733, 344)","(1546, 285, 1617, 309)"
124,4.96,82545,0.5425,"(373, 349, 788, 717)","(482, 624, 573, 654)"
124,4.96,IRGOSL,0.1384,"(1453, 9, 1732, 349)","(1546, 289, 1615, 312)"
125,5.0,LA8254S,0.2214,"(373, 350, 789, 717)","(482, 625, 573, 652)"
125,5.0,RGOGL,0.2047,"(1448, 13, 1732, 352)","(1544, 293, 1613, 316)"
126,5.04,EA82545,0.0905,"(373, 349, 788, 717)","(482, 624, 573, 654)"
126,5.04,ARGOSL,0.1427,"(1454, 17, 1731, 360)","(1539, 296, 1610, 320)"
127,5.08,LA8254S,0.2019,"(373, 349, 789, 717)","(482, 625, 573, 653)"
127,5.08,RGOSL,0.1196,"(1450, 20, 1728, 363)","(1537, 301, 1608, 324)"
128,5.12,LA8254S,0.2404,"(373, 349, 789, 717)","(482, 625, 573, 653)"
128,5.12,RGOSL,0.26,"(1449, 23, 1725, 367)","(1535, 306, 1605, 328)"
129,5.16,LA8254S,0.3517,"(373, 348, 788, 715)","(482, 626, 573, 654)"
129,5.16,DRGOSL,0.1327,"(1442, 25, 1724, 371)","(1531, 310, 1603, 332)"
130,5.2,LA8254S,0.1659,"(373, 348, 788, 715)","(482, 625, 573, 654)"
130,5.2,TRGO6L,0.0246,"(1439, 28, 1723, 376)","(1528, 313, 1601, 336)"
131,5.24,LA8254S,0.3183,"(373, 348, 788, 715)","(482, 626, 573, 653)"
131,5.24,JARCOSL,0.0193,"(1432, 33, 1721, 381)","(1525, 316, 1597, 340)"
132,5.28,LA8254S,0.2231,"(374, 348, 788, 715)","(482, 625, 573, 653)"
132,5.28,IRGOBL,0.0259,"(1430, 37, 1718, 386)","(1522, 320, 1595, 345)"
133,5.32,IA8254S,0.2011,"(373, 348, 788, 715)","(482, 625, 573, 654)"
133,5.32,IRGOEL,0.2033,"(1425, 42, 1715, 394)","(1518, 325, 1591, 348)"
134,5.36,IA8254S,0.2341,"(373, 348, 788, 715)","(482, 625, 573, 653)"
134,5.36,ARGOSL,0.1505,"(1427, 44, 1712, 398)","(1514, 330, 1588, 353)"
135,5.4,IA8254S,0.1895,"(373, 349, 788, 715)","(483, 625, 573, 653)"
135,5.4,RGOGL,0.1989,"(1422, 45, 1711, 401)","(1510, 334, 1585, 359)"
136,5.44,IA82545,0.2515,"(373, 349, 788, 715)","(483, 625, 573, 654)"
136,5.44,RGOSL,0.2232,"(1414, 48, 1709, 403)","(1507, 341, 1581, 363)"
137,5.48,LA8254S,0.2096,"(373, 348, 788, 715)","(482, 625, 573, 653)"
137,5.48,ARGOBL,0.1628,"(1412, 51, 1707, 409)","(1504, 344, 1578, 368)"
138,5.52,LA8254S,0.2096,"(373, 348, 788, 715)","(482, 625, 573, 653)"
138,5.52,RGOGL,0.3451,"(1410, 55, 1704, 414)","(1500, 348, 1575, 372)"
139,5.56,LA8254S,0.2096,"(373, 348, 788, 715)","(482, 625, 573, 653)"
139,5.56,RGOBL,0.1606,"(1407, 60, 1702, 418)","(1497, 354, 1571, 377)"
140,5.6,IA82545,0.2515,"(373, 349, 788, 715)","(483, 625, 573, 654)"
140,5.6,DARGOBL,0.1623,"(1403, 64, 1699, 422)","(1494, 360, 1567, 382)"
141,5.64,LA8254S,0.2096,"(373, 348, 788, 715)","(482, 625, 573, 653)"
141,5.64,RGOGL,0.1266,"(1400, 67, 1698, 427)","(1490, 364, 1564, 387)"
142,5.68,LA8254S,0.2141,"(373, 348, 788, 715)","(482, 625, 573, 653)"
142,5.68,RGOSL,0.0682,"(1396, 70, 1695, 434)","(1486, 368, 1560, 392)"
143,5.72,LA8254S,0.2127,"(373, 348, 788, 715)","(482, 625, 573, 653)"
143,5.72,ARBO6L,0.0888,"(1395, 71, 1692, 441)","(1481, 372, 1557, 398)"
144,5.76,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
144,5.76,RGO6L,0.1875,"(1391, 73, 1692, 444)","(1477, 380, 1552, 402)"
145,5.8,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
145,5.8,RGO6L,0.1222,"(1386, 80, 1691, 451)","(1473, 382, 1550, 408)"
146,5.84,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
146,5.84,RGOGL,0.1002,"(1381, 85, 1691, 457)","(1469, 387, 1545, 413)"
147,5.88,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
147,5.88,ARGOSL,0.272,"(1379, 87, 1694, 463)","(1465, 393, 1541, 418)"
148,5.92,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
148,5.92,IRGO6L,0.1506,"(1369, 91, 1694, 466)","(1460, 399, 1536, 423)"
148,5.92,ERBOSL,0.0457,"(1371, 89, 1695, 466)","(1457, 398, 1538, 424)"
149,5.96,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
149,5.96,ARGO6L,0.1345,"(1359, 94, 1696, 471)","(1457, 406, 1533, 429)"
149,5.96,JRGOBL,0.0708,"(1359, 96, 1695, 473)","(1454, 402, 1535, 430)"
150,6.0,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
150,6.0,RGOSL,0.1194,"(1357, 100, 1694, 478)","(1450, 411, 1528, 435)"
151,6.04,LA8254S,0.23,"(373, 348, 788, 715)","(482, 625, 573, 653)"
151,6.04,RGOSL,0.478,"(1344, 104, 1690, 484)","(1447, 416, 1524, 440)"
152,6.08,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
152,6.08,RGOSL,0.4759,"(1348, 109, 1685, 490)","(1442, 421, 1520, 446)"
153,6.12,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
153,6.12,RGOGL,0.2856,"(1344, 113, 1686, 496)","(1437, 426, 1516, 452)"
153,6.12,EREOA,0.2396,"(1345, 111, 1685, 497)","(1433, 422, 1519, 453)"
154,6.16,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
154,6.16,REOSL,0.4449,"(1336, 118, 1681, 500)","(1432, 433, 1511, 456)"
155,6.2,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
155,6.2,REOSL,0.2323,"(1331, 121, 1678, 504)","(1427, 438, 1508, 462)"
156,6.24,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
156,6.24,RGOSL,0.2799,"(1326, 123, 1690, 512)","(1422, 444, 1501, 467)"
157,6.28,LA8254S,0.2072,"(373, 348, 788, 715)","(482, 625, 573, 653)"
157,6.28,RGOGL,0.4101,"(1320, 131, 1693, 518)","(1417, 448, 1496, 474)"
158,6.32,IA8254S,0.1668,"(373, 348, 788, 715)","(483, 625, 573, 653)"
158,6.32,RGOSL,0.2774,"(1315, 135, 1675, 525)","(1412, 453, 1491, 479)"
159,6.36,IA8254S,0.1668,"(373, 348, 788, 715)","(483, 625, 573, 653)"
159,6.36,TRGO6L,0.0501,"(1301, 139, 1686, 535)","(1407, 460, 1488, 485)"
159,6.36,EBRBOBL,0.1434,"(1302, 140, 1677, 538)","(1404, 457, 1490, 487)"
160,6.4,LA8254S,0.2651,"(373, 347, 788, 715)","(482, 626, 573, 654)"
160,6.4,RGO6L,0.382,"(1295, 143, 1664, 539)","(1402, 465, 1483, 492)"
160,6.4,ER6O6L,0.1151,"(1295, 144, 1654, 542)","(1401, 464, 1484, 493)"
161,6.44,IA8254S,0.2188,"(374, 347, 788, 715)","(482, 625, 573, 653)"
161,6.44,R6OSL,0.1573,"(1290, 149, 1671, 549)","(1396, 472, 1478, 498)"
162,6.48,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
162,6.48,ARGO6L,0.1453,"(1286, 154, 1664, 552)","(1391, 477, 1472, 505)"
163,6.52,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
163,6.52,R6O6L,0.117,"(1282, 158, 1628, 555)","(1384, 486, 1467, 511)"
164,6.56,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
164,6.56,RGO6L,0.2033,"(1276, 162, 1624, 564)","(1377, 491, 1461, 518)"
165,6.6,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
165,6.6,R6O6L,0.1581,"(1270, 165, 1619, 571)","(1372, 498, 1455, 524)"
166,6.64,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
166,6.64,RGOGL,0.2683,"(1266, 167, 1614, 577)","(1367, 506, 1449, 532)"
167,6.68,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
167,6.68,ARGOSL,0.0496,"(1258, 173, 1611, 588)","(1360, 512, 1445, 539)"
168,6.72,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
168,6.72,RGO6L,0.1159,"(1255, 178, 1608, 591)","(1354, 520, 1439, 547)"
169,6.76,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
169,6.76,TRGO6L,0.0336,"(1249, 183, 1603, 599)","(1348, 527, 1433, 554)"
170,6.8,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
170,6.8,AR6O6L,0.1027,"(1245, 187, 1599, 606)","(1342, 533, 1426, 560)"
171,6.84,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
171,6.84,IR6O6LI,0.0989,"(1235, 193, 1594, 612)","(1336, 541, 1421, 567)"
172,6.88,LA8254S,0.1871,"(374, 348, 789, 716)","(482, 625, 573, 653)"
172,6.88,IRGO6D,0.0797,"(1233, 200, 1590, 620)","(1329, 548, 1415, 574)"
172,6.88,IRGOBL,0.0937,"(1235, 201, 1590, 622)","(1324, 544, 1417, 575)"
173,6.92,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
173,6.92,IRGO6L,0.1611,"(1221, 204, 1585, 632)","(1322, 555, 1408, 583)"
173,6.92,IRBO6LI,0.1198,"(1220, 205, 1585, 633)","(1319, 553, 1410, 584)"
174,6.96,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
174,6.96,RGO6L,0.1884,"(1215, 208, 1582, 640)","(1314, 563, 1402, 590)"
174,6.96,IRGO6L,0.2849,"(1215, 208, 1581, 640)","(1310, 563, 1403, 590)"
175,7.0,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
175,7.0,IRGO6L,0.1148,"(1208, 216, 1578, 647)","(1307, 571, 1395, 598)"
175,7.0,IR6O6LL,0.0634,"(1208, 214, 1576, 645)","(1304, 568, 1397, 598)"
176,7.04,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
